0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/ace/mode-html.js.xhtml?ln=components HTTP/1.1" 200 54554
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/bootstrap/bootstrap.min.js.xhtml?ln=components HTTP/1.1" 200 27922
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/ace/theme-github.js.xhtml?ln=components HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/app.js.xhtml?ln=js HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/chartjs/Chart.min.js.xhtml?ln=components HTTP/1.1" 200 52161
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/ace/ace.js.xhtml?ln=components HTTP/1.1" 200 340910
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/DataTables/media/js/jquery.dataTables.min.js.xhtml?ln=components HTTP/1.1" 200 79740
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/DataTables/media/images/sort_both.png HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/DataTables/media/images/sort_asc.png HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:37:31 -0300] "GET /ssa/javax.faces.resource/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:38:31 -0300] "POST /ssa/admin/gerDisciplinas.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:38:31 -0300] "GET /ssa/admin/editDisciplina.xhtml HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:38:31 -0300] "GET /ssa/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25001
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:38:31 -0300] "GET /ssa/javax.faces.resource/bootstrap/bootstrap.min.css.xhtml?ln=components HTTP/1.1" 200 99662
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:38:31 -0300] "GET /ssa/javax.faces.resource/bootstrap-switch/bootstrap-switch.min.css.xhtml?ln=components HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:38:31 -0300] "GET /ssa/javax.faces.resource/DataTables/media/css/jquery.dataTables.min.css.xhtml?ln=components HTTP/1.1" 200 15375
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:38:31 -0300] "GET /ssa/javax.faces.resource/animate.css/animate.min.css.xhtml?ln=components HTTP/1.1" 200 53659
0:0:0:0:0:0:0:1 - - [29/Jun/2017:21:38:31 -0300] "GET /ssa/javax.faces.resource/select2/dist/css/select2.min.css.xhtml?ln=components HTTP/1.1" 200 14930
